# addr_seg:off    body_size  name                         #refs_in
2110:01cd               64  FUN_2110_01cd                   6
2110:020d               26  FUN_2110_020d                   4
2110:0260               44  FUN_2110_0260                   56
2110:02e9               32  FUN_2110_02e9                   114
2110:0309                8  FUN_2110_0309                   3
2110:0311               45  FUN_2110_0311                   51
2110:033e                7  FUN_2110_033e                   58
2110:0345               18  FUN_2110_0345                   27
2110:0357               34  FUN_2110_0357                   42
2110:0379               43  FUN_2110_0379                   2
2110:03dc              173  FUN_2110_03dc                   0
2110:04bf                7  FUN_2110_04bf                   2
2110:04c6               89  FUN_2110_04c6                   8
2110:051f               33  FUN_2110_051f                   1
2110:0540                7  thunk_FUN_2110_0653             1
2110:0547                7  thunk_FUN_2110_0653             4
2110:0653               11  FUN_2110_0653                   15
2176:0054              300  FUN_2176_0054                   1
218e:0000               21  FUN_218e_0000                   1
218e:0015               83  FUN_218e_0015                   8
218e:0068              152  FUN_218e_0068                   8
219e:0000              220  FUN_219e_0000                   1
219e:01ec                4  FUN_219e_01ec                   9
219e:01f3              122  FUN_219e_01f3                   7
219e:026d               10  FUN_219e_026d                   7
219e:0277               14  FUN_219e_0277                   165
219e:0285               40  FUN_219e_0285                   688
219e:02ad               19  FUN_219e_02ad                   72
219e:02c0               24  FUN_219e_02c0                   13
219e:02f7              110  FUN_219e_02f7                   1
219e:038e               50  FUN_219e_038e                   5
219e:03c0               32  FUN_219e_03c0                   1
219e:04a2              156  FUN_219e_04a2                   1
219e:053e              179  FUN_219e_053e                   1
219e:05f1               36  FUN_219e_05f1                   1
219e:0615               21  FUN_219e_0615                   2
219e:062a               74  FUN_219e_062a                   1
219e:0674               14  FUN_219e_0674                   2
219e:0693               26  FUN_219e_0693                   26
219e:06ad               36  FUN_219e_06ad                   86
219e:06df               65  FUN_219e_06df                   4
219e:0720               44  FUN_219e_0720                   48
219e:074c               55  FUN_219e_074c                   2
219e:0783               43  FUN_219e_0783                   5
219e:07ae               18  FUN_219e_07ae                   4
219e:07c0               27  FUN_219e_07c0                   4
219e:07db               84  FUN_219e_07db                   0
219e:082f               86  FUN_219e_082f                   0
219e:09dc              137  FUN_219e_09dc                   1
219e:0a65               35  FUN_219e_0a65                   1
219e:0a88               23  FUN_219e_0a88                   1
219e:0a9f               19  FUN_219e_0a9f                   2
219e:0ab2               63  FUN_219e_0ab2                   1
219e:0af1               92  FUN_219e_0af1                   1
219e:0b65               22  FUN_219e_0b65                   8
219e:0b6f                4  FUN_219e_0b6f                   2
219e:0b73                4  FUN_219e_0b73                   10
219e:0b7f               14  FUN_219e_0b7f                   6
219e:0b99               22  FUN_219e_0b99                   54
219e:0be7               54  FUN_219e_0be7                   1
219e:0c1f               13  FUN_219e_0c1f                   1
219e:0c2c               82  FUN_219e_0c2c                   2
219e:0ca6              152  FUN_219e_0ca6                   2
219e:0d3e               75  FUN_219e_0d3e                   1
219e:0d89               49  FUN_219e_0d89                   1
