func_addr,func_name,string_addr,string
1000:300a,FUN_1000_300a,1000:0001,"MONSTERS.DAT"
1000:300a,FUN_1000_300a,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:300a,FUN_1000_300a,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:300a,FUN_1000_300a,2000:2f51,"Sunday"
1000:30e2,FUN_1000_30e2,1000:0001,"MONSTERS.DAT"
1000:30e2,FUN_1000_30e2,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:30e2,FUN_1000_30e2,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:30e2,FUN_1000_30e2,2000:2f51,"Sunday"
1000:3316,FUN_1000_3316,1000:0001,"MONSTERS.DAT"
1000:3316,FUN_1000_3316,1000:32ed," Your Health: "
1000:3316,FUN_1000_3316,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:3316,FUN_1000_3316,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:3316,FUN_1000_3316,2000:2f51,"Sunday"
1000:34fa,FUN_1000_34fa,1000:0001,"MONSTERS.DAT"
1000:34fa,FUN_1000_34fa,1000:3613," <4u"
1000:34fa,FUN_1000_34fa,2000:0e84,"PLAY-CMF.COM"
1000:34fa,FUN_1000_34fa,2000:2f51,"Sunday"
1000:34fa,FUN_1000_34fa,2000:2f83,"Friday"
1000:3749,FUN_1000_3749,1000:0001,"MONSTERS.DAT"
1000:3749,FUN_1000_3749,1000:38e4," <3u"
1000:3749,FUN_1000_3749,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:3749,FUN_1000_3749,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:3749,FUN_1000_3749,2000:2f51,"Sunday"
1000:3749,FUN_1000_3749,2000:2f83,"Friday"
1000:3a11,FUN_1000_3a11,1000:0001,"MONSTERS.DAT"
1000:3a11,FUN_1000_3a11,1000:3a06," BUZZER.VOCU"
1000:3a11,FUN_1000_3a11,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:3a11,FUN_1000_3a11,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:3a11,FUN_1000_3a11,2000:2f51,"Sunday"
1000:3cb4,FUN_1000_3cb4,1000:0001,"MONSTERS.DAT"
1000:3cb4,FUN_1000_3cb4,1000:3e6e,"5<2u"
1000:3cb4,FUN_1000_3cb4,1000:3e79,"*<3u"
1000:3cb4,FUN_1000_3cb4,1000:3e9a," <6u"
1000:3cb4,FUN_1000_3cb4,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:3cb4,FUN_1000_3cb4,2000:0e84,"PLAY-CMF.COM"
1000:3cb4,FUN_1000_3cb4,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:3cb4,FUN_1000_3cb4,2000:1795,"SETSPEED.EXE"
1000:3cb4,FUN_1000_3cb4,2000:2f51,"Sunday"
1000:3cb4,FUN_1000_3cb4,2000:2f83,"Friday"
1000:3fe8,FUN_1000_3fe8,1000:0001,"MONSTERS.DAT"
1000:3fe8,FUN_1000_3fe8,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:3fe8,FUN_1000_3fe8,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:3fe8,FUN_1000_3fe8,2000:2f51,"Sunday"
1000:4189,FUN_1000_4189,1000:0001,"MONSTERS.DAT"
1000:4189,FUN_1000_4189,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:4189,FUN_1000_4189,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:4189,FUN_1000_4189,2000:2f51,"Sunday"
1000:43f7,FUN_1000_43f7,1000:0001,"MONSTERS.DAT"
1000:43f7,FUN_1000_43f7,1000:432a," SCREAM.VOC"
1000:43f7,FUN_1000_43f7,1000:43ed," FUNKY.CMFU"
1000:43f7,FUN_1000_43f7,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:43f7,FUN_1000_43f7,2000:0517,"T8x3"
1000:43f7,FUN_1000_43f7,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:43f7,FUN_1000_43f7,2000:2f51,"Sunday"
1000:43f7,FUN_1000_43f7,2000:2f5b,"Monday"
1000:4cbe,FUN_1000_4cbe,1000:0001,"MONSTERS.DAT"
1000:4cbe,FUN_1000_4cbe,2000:2f51,"Sunday"
1000:4cbe,FUN_1000_4cbe,2000:2fa0,"EGAVGA"
1000:503d,FUN_1000_503d,1000:5032," BUZZER.VOCU"
1000:503d,FUN_1000_503d,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:503d,FUN_1000_503d,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:50a6,FUN_1000_50a6,1000:0001,"MONSTERS.DAT"
1000:50a6,FUN_1000_50a6,1000:5075," SHOP1.PIC"
1000:50a6,FUN_1000_50a6,1000:5499,"<1u/"
1000:50a6,FUN_1000_50a6,1000:54cc,"<2u."
1000:50a6,FUN_1000_50a6,1000:54fe,"<3u."
1000:50a6,FUN_1000_50a6,1000:5530,"<4u/"
1000:50a6,FUN_1000_50a6,1000:5563,"<5u/"
1000:50a6,FUN_1000_50a6,1000:5596,"<6u-"
1000:50a6,FUN_1000_50a6,1000:55c6,"v<7u1"
1000:50a6,FUN_1000_50a6,1000:55fb,"A<8u1"
1000:50a6,FUN_1000_50a6,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:50a6,FUN_1000_50a6,2000:0e84,"PLAY-CMF.COM"
1000:50a6,FUN_1000_50a6,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:50a6,FUN_1000_50a6,2000:1795,"SETSPEED.EXE"
1000:50a6,FUN_1000_50a6,2000:2f51,"Sunday"
1000:50a6,FUN_1000_50a6,2000:2f83,"Friday"
1000:5674,FUN_1000_5674,1000:0001,"MONSTERS.DAT"
1000:5674,FUN_1000_5674,1000:5643," SHOP2.PIC"
1000:5674,FUN_1000_5674,1000:5a67,"<1u6"
1000:5674,FUN_1000_5674,1000:5aa1,"<2u6"
1000:5674,FUN_1000_5674,1000:5adb,"<3u6"
1000:5674,FUN_1000_5674,1000:5b15,"<4u5"
1000:5674,FUN_1000_5674,1000:5b4d,"}<5u4"
1000:5674,FUN_1000_5674,1000:5b85,"E<6u5"
1000:5674,FUN_1000_5674,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:5674,FUN_1000_5674,2000:0e84,"PLAY-CMF.COM"
1000:5674,FUN_1000_5674,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:5674,FUN_1000_5674,2000:1795,"SETSPEED.EXE"
1000:5674,FUN_1000_5674,2000:2f51,"Sunday"
1000:5674,FUN_1000_5674,2000:2f83,"Friday"
1000:5be6,FUN_1000_5be6,1000:0001,"MONSTERS.DAT"
1000:5be6,FUN_1000_5be6,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:5be6,FUN_1000_5be6,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:5be6,FUN_1000_5be6,2000:2f51,"Sunday"
1000:5d15,FUN_1000_5d15,1000:0001,"MONSTERS.DAT"
1000:5d15,FUN_1000_5d15,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:5d15,FUN_1000_5d15,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:5d15,FUN_1000_5d15,2000:2f51,"Sunday"
1000:6165,FUN_1000_6165,1000:0001,"MONSTERS.DAT"
1000:6165,FUN_1000_6165,1000:5f88,"$This is a beach, or a clump of sand."
1000:6165,FUN_1000_6165,2000:2f51,"Sunday"
1000:687f,FUN_1000_687f,1000:0001,"MONSTERS.DAT"
1000:687f,FUN_1000_687f,1000:681c," BUZZER.VOC"
1000:687f,FUN_1000_687f,1000:6836," GLASS.VOC"
1000:687f,FUN_1000_687f,1000:6b7d,"<*u!"
1000:687f,FUN_1000_687f,1000:6ba2,"</u!"
1000:687f,FUN_1000_687f,1000:6bc7,"<+u$"
1000:687f,FUN_1000_687f,1000:6bef,"<-u$"
1000:687f,FUN_1000_687f,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:687f,FUN_1000_687f,2000:0e7f,".CMF"
1000:687f,FUN_1000_687f,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:687f,FUN_1000_687f,2000:2f51,"Sunday"
1000:687f,FUN_1000_687f,2000:2fa0,"EGAVGA"
1000:72cf,FUN_1000_72cf,1000:0001,"MONSTERS.DAT"
1000:72cf,FUN_1000_72cf,1000:719f," INTRO3.PIC INTRO4.PIC INTRO5.PIC INTRO6.PIC"
1000:72cf,FUN_1000_72cf,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:72cf,FUN_1000_72cf,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:72cf,FUN_1000_72cf,2000:2f51,"Sunday"
1000:72cf,FUN_1000_72cf,2000:2f6e," Wednesday"
1000:76f9,FUN_1000_76f9,1000:0001,"MONSTERS.DAT"
1000:76f9,FUN_1000_76f9,1000:10dc,"SAVEGAME.DAT"
1000:76f9,FUN_1000_76f9,1000:76c8," Initializing Map, Please wait..."
1000:76f9,FUN_1000_76f9,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:76f9,FUN_1000_76f9,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:76f9,FUN_1000_76f9,2000:2625," .;T"
1000:76f9,FUN_1000_76f9,2000:2f51,"Sunday"
1000:76f9,FUN_1000_76f9,2000:2f6e," Wednesday"
1000:8fbf,FUN_1000_8fbf,1000:0001,"MONSTERS.DAT"
1000:8fbf,FUN_1000_8fbf,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:8fbf,FUN_1000_8fbf,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:8fbf,FUN_1000_8fbf,2000:2f51,"Sunday"
1000:8ffd,FUN_1000_8ffd,1000:0001,"MONSTERS.DAT"
1000:8ffd,FUN_1000_8ffd,1000:8ff3," MAGIC.VOCU"
1000:8ffd,FUN_1000_8ffd,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:8ffd,FUN_1000_8ffd,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:8ffd,FUN_1000_8ffd,2000:2f51,"Sunday"
1000:903b,FUN_1000_903b,1000:0001,"MONSTERS.DAT"
1000:903b,FUN_1000_903b,1000:9031," THIEF.VOCU"
1000:903b,FUN_1000_903b,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:903b,FUN_1000_903b,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:903b,FUN_1000_903b,2000:2f51,"Sunday"
1000:9077,FUN_1000_9077,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:9077,FUN_1000_9077,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:90b3,FUN_1000_90b3,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:90b3,FUN_1000_90b3,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:90dc,FUN_1000_90dc,1000:0001,"MONSTERS.DAT"
1000:90dc,FUN_1000_90dc,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:90dc,FUN_1000_90dc,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:90dc,FUN_1000_90dc,2000:2f51,"Sunday"
1000:915b,FUN_1000_915b,1000:0001,"MONSTERS.DAT"
1000:915b,FUN_1000_915b,1000:9131," CHOOSE.PIC"
1000:915b,FUN_1000_915b,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:915b,FUN_1000_915b,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:915b,FUN_1000_915b,2000:2f51,"Sunday"
1000:915b,FUN_1000_915b,2000:2fc4,"PC3270"
1000:a2e3,FUN_1000_a2e3,1000:a2ae,"*Thank you for playing The Golden Flute IV. SEEYA.VOCU"
1000:a2e3,FUN_1000_a2e3,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:a2e3,FUN_1000_a2e3,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:a657,entry,1000:0001,"MONSTERS.DAT"
1000:a657,entry,1000:a3c6," SPEED.DAT"
1000:a657,entry,1000:a5a3,"#Press a key or mouse button to play"
1000:a657,entry,1000:b1d8,"J<2u"
1000:a657,entry,1000:b1f0,"2<3u"
1000:a657,entry,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:a657,entry,1000:efb9,"SANS.CHR"
1000:a657,entry,2000:0e84,"PLAY-CMF.COM"
1000:a657,entry,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:a657,entry,2000:2f51,"Sunday"
1000:a657,entry,2000:2f5b,"Monday"
1000:a657,entry,2000:2f65,"Tuesday"
1000:a657,entry,2000:2f6e," Wednesday"
1000:a657,entry,2000:2f83,"Friday"
1000:a657,entry,2000:2f8d,"Saturday"
1000:a657,entry,2000:2fa0,"EGAVGA"
1b24:0000,FUN_1b24_0000,1000:0001,"MONSTERS.DAT"
1b24:0000,FUN_1b24_0000,1000:00bb,"Sound Blaster CMF Files:B  Jill of the Jungle, Sound Blaster (bundled with), and..."
1b24:0000,FUN_1b24_0000,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1b24:0000,FUN_1b24_0000,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1b24:0000,FUN_1b24_0000,2000:2f51,"Sunday"
1b24:0000,FUN_1b24_0000,2000:2fa0,"EGAVGA"
1b5b:0000,FUN_1b5b_0000,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1b5b:0000,FUN_1b5b_0000,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1b5b:0099,FUN_1b5b_0099,1000:0001,"MONSTERS.DAT"
1b5b:0099,FUN_1b5b_0099,2000:2f51,"Sunday"
1b5b:01ba,FUN_1b5b_01ba,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1b5b:01ba,FUN_1b5b_01ba,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1b5b:0248,FUN_1b5b_0248,1000:0001,"MONSTERS.DAT"
1b5b:0248,FUN_1b5b_0248,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1b5b:0248,FUN_1b5b_0248,1000:fefc,"b;T |"
1b5b:0248,FUN_1b5b_0248,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1b5b:0248,FUN_1b5b_0248,2000:2f51,"Sunday"
1b5b:0387,FUN_1b5b_0387,1000:0001,"MONSTERS.DAT"
1b5b:0387,FUN_1b5b_0387,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1b5b:0387,FUN_1b5b_0387,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1b5b:0387,FUN_1b5b_0387,2000:2f51,"Sunday"
1b9f:00ac,FUN_1b9f_00ac,1000:0001,"MONSTERS.DAT"
1b9f:00ac,FUN_1b9f_00ac,2000:1795,"SETSPEED.EXE"
1b9f:00ac,FUN_1b9f_00ac,2000:2f51,"Sunday"
1b9f:032f,FUN_1b9f_032f,1000:0001,"MONSTERS.DAT"
1b9f:032f,FUN_1b9f_032f,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1b9f:032f,FUN_1b9f_032f,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1b9f:032f,FUN_1b9f_032f,2000:2f51,"Sunday"
1b9f:032f,FUN_1b9f_032f,2000:2f79,"Thursday"
1bfc:0000,FUN_1bfc_0000,1000:0001,"MONSTERS.DAT"
1bfc:0000,FUN_1bfc_0000,2000:2f51,"Sunday"
1bfc:0000,FUN_1bfc_0000,2000:2f83,"Friday"
1bfc:0028,FUN_1bfc_0028,1000:0001,"MONSTERS.DAT"
1bfc:0028,FUN_1bfc_0028,2000:2f51,"Sunday"
1bfc:0028,FUN_1bfc_0028,2000:2f83,"Friday"
1bfc:0050,FUN_1bfc_0050,1000:0001,"MONSTERS.DAT"
1bfc:0050,FUN_1bfc_0050,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1bfc:0050,FUN_1bfc_0050,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
