func_addr,func_name,string_addr,string
2110:0311,FUN_2110_0311,2000:17a3,"GF4.CFG SETUP.EXE"
2110:0345,FUN_2110_0345,1000:0001,"MONSTERS.DAT"
2110:0345,FUN_2110_0345,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
2110:0345,FUN_2110_0345,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
2110:0345,FUN_2110_0345,2000:2f51,"Sunday"
2110:0357,FUN_2110_0357,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
2110:0357,FUN_2110_0357,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
2110:0379,FUN_2110_0379,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
2110:0379,FUN_2110_0379,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
2110:03dc,FUN_2110_03dc,1000:0001,"MONSTERS.DAT"
2110:03dc,FUN_2110_03dc,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
2110:03dc,FUN_2110_03dc,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
2110:03dc,FUN_2110_03dc,2000:2f51,"Sunday"
2110:03dc,FUN_2110_03dc,2110:04c5," SQR"
2110:04bf,FUN_2110_04bf,2110:04c5," SQR"
2110:04c6,FUN_2110_04c6,1000:0001,"MONSTERS.DAT"
2110:04c6,FUN_2110_04c6,2000:2f51,"Sunday"
2176:0054,FUN_2176_0054,1000:0001,"MONSTERS.DAT"
2176:0054,FUN_2176_0054,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
2176:0054,FUN_2176_0054,1000:efb9,"SANS.CHR"
2176:0054,FUN_2176_0054,2000:0e84,"PLAY-CMF.COM"
2176:0054,FUN_2176_0054,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
2176:0054,FUN_2176_0054,2000:2f51,"Sunday"
218e:0015,FUN_218e_0015,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
218e:0015,FUN_218e_0015,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:01f3,FUN_219e_01f3,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:01f3,FUN_219e_01f3,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:026d,FUN_219e_026d,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:026d,FUN_219e_026d,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:0277,FUN_219e_0277,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:0277,FUN_219e_0277,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:02f7,FUN_219e_02f7,1000:0001,"MONSTERS.DAT"
219e:02f7,FUN_219e_02f7,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
219e:02f7,FUN_219e_02f7,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
219e:02f7,FUN_219e_02f7,2000:2f51,"Sunday"
219e:053e,FUN_219e_053e,219e:0599," &;U"
219e:05f1,FUN_219e_05f1,1000:0001,"MONSTERS.DAT"
219e:05f1,FUN_219e_05f1,2000:2f51,"Sunday"
219e:062a,FUN_219e_062a,1000:0001,"MONSTERS.DAT"
219e:062a,FUN_219e_062a,2000:2f51,"Sunday"
219e:0674,FUN_219e_0674,1000:0001,"MONSTERS.DAT"
219e:0674,FUN_219e_0674,2000:2f51,"Sunday"
219e:06df,FUN_219e_06df,1000:0001,"MONSTERS.DAT"
